user_id,age,gender,occupation,zip
1,24,M,technician,85711
2,53,F,other,94043
3,23,M,writer,32067
4,24,M,technician,43537
5,33,F,other,15213
6,42,M,executive,98101
7,57,M,administrator,91344
8,36,M,administrator,05201
9,29,M,student,01002
10,53,M,lawyer,90703
11,39,F,other,30329
12,28,F,other,06405
13,47,M,educator,29206
14,45,M,scientist,55106
15,49,F,educator,97301
16,21,M,entertainment,10309
17,30,M,programmer,06355
18,35,F,other,37212
19,40,M,librarian,02138
20,42,F,homemaker,95660
21,26,M,writer,30068
22,25,M,writer,40206
23,30,F,artist,48197
24,21,F,artist,94533
25,39,M,engineer,55107
26,49,M,engineer,21044
27,40,F,librarian,30030
28,32,M,writer,55369
29,41,M,programmer,94043
30,7,M,student,55436
31,24,M,artist,10003
32,28,F,student,78741
33,23,M,student,27510
34,38,F,administrator,42141
35,20,F,homemaker,42459
36,19,F,student,93117
37,23,M,student,55105
38,28,F,other,54467
39,41,M,entertainment,01040
40,38,M,scientist,27514
41,33,M,engineer,80525
42,30,M,administrator,17870
43,29,F,librarian,20854
44,26,M,technician,46260
45,29,M,programmer,50233
46,27,F,marketing,46538
47,53,M,marketing,07102
48,45,M,administrator,12550
49,23,F,student,76111
50,21,M,writer,52245
51,28,M,educator,16509
52,18,F,student,55105
53,26,M,programmer,55414
54,22,M,executive,66315
55,37,M,programmer,01331
56,25,M,librarian,46260
57,16,M,none,84010
58,27,M,programmer,52246
59,49,M,educator,08403
